"","price","area","bedrooms","bathrooms","stories","parking","mainrbinary","groombinary","basementbinary","hwaterbinary","acbinary","prefareabinary","priceVarea_predONtrain","priceVarea_levelLog_predONtrain","poly_priceVarea_predONtrain","spline_priceVarea_predONtrain","basemulti_predONtrain","ridge_model_predONtrain","svm_predONtrain","svm_tuned_predONtrain","CART_predONtrain","tunedCART_predONtrain","gradboost_predONtrain","boost_tune_predONtrain","logit_bin_predONtrain","probit_bin_predONtrain","classif_CART_predONtrain..pred_0","classif_CART_predONtrain..pred_1","classif_tunedCART_predONtrain..pred_0","classif_tunedCART_predONtrain..pred_1","classif_gradboost_predONtrain..pred_0","classif_gradboost_predONtrain..pred_1","classif_boost_tune_predONtrain..pred_0","classif_boost_tune_predONtrain..pred_1"
"1",3430,3850,3,1,1,0,1,0,0,0,0,0,4103.47667317504,4162.95409426431,4077.60523984579,4144.20922960456,3283.18113535375,3334.09329158681,4336.05727703883,4336.05423815741,3402.05588235294,3358.32,3580.33422851562,3427.794921875,0.161443856616692,0.0393103587730198,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.948277950286865,0.0517220497131348,0.879624783992767,0.120375216007233
"2",3430,2145,3,1,3,0,1,0,0,0,0,1,3263.77406598381,2569.22541507654,2848.51719258625,3029.99961896363,3500.93962197905,3560.31000439246,4335.30698053467,4335.28965664791,3402.05588235294,3514.29166666667,3692.63012695312,3260.54296875,0.20776301997168,0.300307919436234,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.944940984249115,0.055059015750885,0.834593415260315,0.165406584739685
"3",3430,1950,3,2,2,0,1,0,1,0,0,1,3167.73769741942,2309.5402678525,2695.97462790787,2905.71567859348,4125.55196453464,4158.32569623281,4338.10851148231,4338.10170130574,4129.04545454545,4129.04545454545,3435.43872070312,4220.20458984375,0.183472878079749,0.126907833860843,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.93230789899826,0.0676921010017395,0.895224690437317,0.104775309562683
"4",3423,4040,2,1,1,0,1,0,0,0,0,0,4197.0505707506,4294.2038142471,4202.93636827996,4270.43224909378,3356.9342583293,3404.40110528362,4336.93578974621,4336.91503653709,3402.05588235294,3358.32,3420.3232421875,3459.91430664062,0.160957483020481,0.0391019425742111,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.948277950286865,0.0517220497131348,0.879624783992767,0.120375216007233
"5",3395,4785,3,1,2,1,1,1,1,0,1,0,4563.95874808636,4755.32413265414,4671.85711863602,4747.75726873377,4961.8839781857,4965.84687064212,4338.99489672954,4338.9928929309,4153.15384615385,4685.94,3513.36962890625,4879.142578125,0.180793827818713,0.124368617506402,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.706742167472839,0.293257832527161,0.867349565029144,0.132650434970856
"6",3395,3450,3,1,1,2,1,0,1,0,0,0,3906.47899406859,3864.06493534616,3806.12410284695,3877.72218189294,3127.91140277364,3186.07684169881,4336.10681745565,4336.09770293007,3402.05588235294,3525.08333333333,3235.37231445312,2985.21337890625,0.159023825290754,0.0382772554276218,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.773961901664734,0.226038098335266,0.848302662372589,0.151697337627411
"7",3395,3640,2,1,1,0,1,0,0,0,0,0,4000.05289164416,4010.13094950792,3936.36697587811,4004.21873434472,3201.66452574919,3256.38465539561,4336.87376914362,4336.87360341786,3402.05588235294,3358.32,3224.48315429688,3045.12866210938,0.159023825290754,0.0382772554276218,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.773961901664734,0.226038098335266,0.848302662372589,0.151697337627411
"8",3360,4960,4,1,3,0,0,0,0,0,0,0,4650.14523269543,4853.19213283217,4776.80371660304,4852.44416445111,4593.65036501159,4601.97577047929,4338.20718288473,4338.19580321964,4153.15384615385,3641.05,3333.60888671875,4213.796875,0.201904593945784,0.291812223641816,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.882902145385742,0.117097854614258,0.794294059276581,0.205705940723419
"9",3360,4120,2,1,2,0,1,0,0,0,0,0,4236.45010657189,4347.62967903702,4255.0093849674,4323.29387362258,3827.78606571934,3862.57281048785,4339.93776545655,4339.93884308749,4153.15384615385,4316.30769230769,3700.8828125,3973.66040039062,0.178145361939292,0.121865146109053,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.852726995944977,0.147273004055023,0.867349565029144,0.132650434970856
"10",3360,4750,2,1,1,0,1,0,0,0,0,0,4546.72145116455,4735.32150203524,4650.63029034006,4726.38036672579,3632.538033659,3667.13030383482,4338.99752124771,4338.99654062255,4153.15384615385,3641.05,3480.96313476562,3570.81567382812,0.156633294068986,0.0372663982297707,0.847619047619048,0.152380952380952,0.847619047619048,0.152380952380952,0.741716682910919,0.258283317089081,0.848302662372589,0.151697337627411
